,Datetime,ID,Text,Media
0,2022-02-09 03:30:05+00:00,1491253040371933184,"TikTok says it will strengthen efforts to regulate dangerous content, including harmful hoaxes and content that promotes eating disorders and hateful ideologies https://t.co/rqy5Rji2ZE",CNN
1,2022-02-09 03:10:14+00:00,1491248043521454080,"Behind Beijing's ski jump are furnaces, tall chimney stacks and cooling towers on the site of a former steel mill that ceased operations more than 15 years ago, as part of efforts to clear the air in the capital ahead of the 2008 Summer Olympics. https://t.co/rIedX2bcBo",CNN
2,2022-02-09 03:00:12+00:00,1491245519707979776,The first US Capitol attack trial is this month. Here's what prosecutors are planning. https://t.co/4e1C0Tz2kH,CNN
3,2022-02-09 02:59:06+00:00,1491245241374060547,The House on Tuesday passed a sweeping bipartisan bill that would overhaul the US Postal Service's finances and allow the agency to modernize its service. The bill now heads to the Senate. https://t.co/I8NtCWW3wR,CNN
4,2022-02-09 02:44:09+00:00,1491241480932974595,The NC State Board of Elections said it has the power to block GOP Rep. Madison Cawthorn from running for reelection over his role in the Capitol riot — an open legal question at the center of liberal-backed efforts to disqualify him from future office. https://t.co/OW4DfMzGXS,CNN
5,2022-02-09 02:30:12+00:00,1491237969289744384,"In the fourth quarter alone, household debt grew by $333 billion to $15.58 trillion, the largest quarterly rate of increase since 2007 as well
https://t.co/8uYgpZe3sn",CNN
6,2022-02-09 02:17:21+00:00,1491234736613859328,"Stores' infant formula inventories in mid-January were down 17% from where they were in mid-February 2020, just before the pandemic hit US shores, according to market research firm IRI https://t.co/9jKmBd6JIt",CNN
7,2022-02-09 02:00:19+00:00,1491230449443778565,"A flight from North Carolina to Los Angeles was diverted to New Mexico overnight after a passenger made a ""threatening statement"" to a crew member, a spokesperson for American Airlines said https://t.co/toA52gUdyG",CNN
8,2022-02-09 01:46:02+00:00,1491226855814352901,The most dangerous way to travel in the United States became even more deadly during the coronavirus pandemic. Roadway deaths soared at the highest rate in recorded history. https://t.co/vMRDtNp5ao,CNN
9,2022-02-09 01:31:06+00:00,1491223097080524804,"Dodgers pitcher Trevor Bauer will not face criminal charges for sexual assault accusations, the Los Angeles County District Attorney's office says https://t.co/DUMddAnE33",CNN
10,2022-02-09 01:12:37+00:00,1491218444095733764,"This English pub is closing after 1,200 years https://t.co/TXfroGGUjN https://t.co/7sgrGkB6Sf",CNN
11,2022-02-09 01:11:43+00:00,1491218218203193357,A woman spent two days floating alone on an air mattress atop a frigid lake. A pair of watchful freight train workers came to her rescue. https://t.co/f6diWww7rq,CNN
12,2022-02-09 01:00:10+00:00,1491215310854266892,More than 180 people died in an attack on Kabul airport. A CNN investigation raises questions as to whether some may have been hit by gunfire. https://t.co/wVWy49L7Td,CNN
13,2022-02-09 00:45:07+00:00,1491211522722443267,"The head of the CDC is standing by the agency's mask guidelines, emphasizing that now is not the time to change the recommendations or loosen restrictions https://t.co/CJ7RyftqbS",CNN
14,2022-02-09 00:30:04+00:00,1491207735605661696,"Changing what you eat could add up to 13 years to your life, according to a newly published study, especially if you start when you are young https://t.co/1e3IjMaZNz",CNN
